result,horse_sex,jockey_weight,horse_win_value,horse_psf_rate,race_info,speed,horse_age_4,horse_age_5,horse_age_6,horse_age_7,horse_age_8,horse_age_9,horse_age_10,horse_age_11,race_type_Condition 2,race_type_Condition 3,race_type_Condition 4,race_type_Condition 5,race_type_Condition-6,race_type_Condition-7,race_type_Condition-8,race_type_Condition-9,race_type_G 3,race_type_Handicap 13,race_type_Handicap 14,race_type_Handicap 15,race_type_Handicap 16,race_type_Handicap 17,race_type_Handicap 21,race_type_Maiden,race_type_Sale 1,race_type_Sale 2,race_type_Sale 3,race_age_group_1,race_track_type_1,race_track_condition_Moist,race_track_condition_Muddy,race_track_condition_Wet
0.8333333333333334,1,0.4,0.13519371444053102,0.011764705882352941,2024-01-02_Adana_1,0.7536882333127048,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,1,0.4,0.09374153345976702,0.023529411764705882,2024-01-02_Adana_1,0.742358879180164,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,0,0.6,0.01869412083446221,0.2,2024-01-02_Adana_2,0.8982287014298603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.125,0,0.4666666666666667,0.006502302898943376,0.21176470588235294,2024-01-02_Adana_2,0.8771991637247737,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.25,0,0.8666666666666667,0.09617989704687077,0.25882352941176473,2024-01-02_Adana_2,0.8770604083286014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.375,0,0.7333333333333333,0.06177187753996207,0.16470588235294117,2024-01-02_Adana_2,0.876814989828089,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.5,0,0.5333333333333333,0.06800325115144948,0.08235294117647059,2024-01-02_Adana_2,0.8659282640057994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.625,0,0.7333333333333333,0.07315090761311298,0.058823529411764705,2024-01-02_Adana_2,0.8558297934358986,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.75,0,0.8,0.21647250067732327,0.023529411764705882,2024-01-02_Adana_2,0.8360355379381142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.875,0,0.6,0.044161473855323756,0.11764705882352941,2024-01-02_Adana_2,0.8358152260529006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.0,0,0.8666666666666667,0.07287997832565701,0.07058823529411765,2024-01-02_Adana_2,0.8254671463448796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
